Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Malta;2011;24,22;58,09;54,94;46599,02;1,63;6,43;91,94;40,34;685,89;843,85;965,06;976,44;521,24
Malta;2012;27,07;58,63;54,97;45948,54;1,61;6,44;91,95;40,48;704,66;858,17;951,9;989,67;548,16
Malta;2013;28,41;58,54;54,26;45753,63;1,24;6,12;92,64;40,65;702,83;864,85;945,74;997,48;568,51
Malta;2014;26,33;57,81;53,33;46238,21;1,39;6;92,61;40,83;681,18;861,14;909,25;998,6;589,39
Malta;2015;26,69;58,2;53,97;46935,6;1,51;6,05;92,45;40,97;699,45;865,47;880,05;1011,35;621,59
Malta;2016;27,56;58,02;54,24;47709,72;1,38;6,18;92,44;41,11;703,44;872,73;860,67;1020,29;651,68
Malta;2017;28,71;58,08;55,03;48809,09;1,46;6,18;92,36;41,22;716,44;888,06;839,96;1020,93;680,11
Malta;2018;28,9;57,99;55,53;49787,07;1,44;6,06;92,5;41,29;722;906,86;837,36;1009,48;709,2
Niemcy;2000;27,13;51,63;46,19;21193,9;3,8;27,22;68,99;40,35;308,33;524,84;606,97;698,66;133,52
Niemcy;2001;26,92;51,23;46,31;21892,48;3,38;28,36;68,26;40,56;278,62;523,07;603,6;703,03;143,48
Niemcy;2002;27,29;50,93;46,57;22297,22;3,46;27,84;68,7;40,8;246,02;536,87;592,38;695,25;170,11
Niemcy;2003;28,04;51,05;46,13;23107,2;3,21;27,28;69,51;40,9;228,7;558,4;579,91;685,09;200,79
Niemcy;2004;27,71;50,64;45,75;24233,6;3,19;26,79;70,02;41,09;212,36;563,27;583,66;669,05;216,17
Niemcy;2005;28,17;50,77;45,8;25781,2;2,82;26,49;70,69;41,18;191,57;582,68;593,36;660,15;233,91
Niemcy;2006;28,51;50,63;46,15;27473,63;2,79;27,02;70,18;41,27;191,71;577,12;603,79;645,63;248,57
Niemcy;2007;28,73;49,89;46,53;28844,07;2,53;26,81;70,66;41,49;175,45;568,93;606,24;629,48;264,05
Niemcy;2008;29,19;49,35;46,58;29373,11;2,31;26,74;70,96;41,67;170,37;558,21;614,34;622,85;274,95
Niemcy;2009;29,66;49,51;45,68;27803,59;2,22;24,06;73,71;41,71;168,57;550,32;632,35;620,25;285,64
Niemcy;2010;29,93;49,23;45,07;28352,95;1,92;23,2;74,88;41,76;159,17;530,27;650,53;615,37;293,9
Niemcy;2011;30,32;49,43;45,53;28797,42;1,87;23,89;74,24;41,86;145,22;513,06;671,26;607,82;305,06
Niemcy;2012;28,63;50,07;45,96;28527,14;1,93;23,33;74,74;42,09;151,11;493,08;692,68;612,32;316,98
Niemcy;2013;28,9;50,99;46,76;28379,75;2,07;22,91;75,02;42,21;146,2;499,47;707,96;611,72;331,31
Niemcy;2014;29;50,97;47,2;29119,62;1,64;23,6;74,77;42,48;140,7;482,63;717,23;611,66;339,42
Niemcy;2015;29,29;51,42;48,3;30605,42;1,64;23,75;74,62;42,77;142,49;472,39;719,14;622,53;344,64
Niemcy;2016;29,29;52,06;49,63;31295,26;1,72;24,15;74,13;43,05;131,71;478,18;724,46;629,72;356,55
Niemcy;2017;29,21;52,54;50,66;32570,78;1,79;24,22;73,99;43,42;129,57;474,31;717,77;644,15;370,26
Niemcy;2018;29,39;52,44;50,9;33435,51;1,76;23,98;74,26;43,88;124,77;459;717,22;664,06;387,04
Polska;2000;32,54;52,67;50,18;25981,36;14,32;22,52;63,15;38,97;293,07;640,02;601,12;459,31;255,24
Polska;2001;29,79;53,42;50,77;26300,22;14,69;22,17;63,15;39,18;298,94;648,75;611,74;484,88;248,38
Polska;2002;31,08;53,98;51,12;26358,23;13,92;21,09;65;39,38;290,95;670,45;610,04;496,34;262,01
Polska;2003;33,3;54,67;50,7;26015,11;14,02;20,66;65,32;39,29;279,4;695,93;635,04;500,47;265,87
Polska;2004;32,75;54,24;50,34;26417,2;12,91;19,38;67,71;39,78;248,77;687,8;654,15;513,12;273,5
Polska;2005;32,8;55,28;50,51;26574,4;13,09;18,43;68,48;40,11;240,74;702,88;652,35;539,2;286,96
Polska;2006;35,35;55,57;50,62;26957,58;12,53;18,64;68,83;40,26;231,32;699,2;669,83;555;287,46
Polska;2007;36,22;56;50,68;27579,1;12,37;18,1;69,53;40,55;227,15;693,9;681,84;556,19;305,83
Polska;2008;36,13;55,87;50,98;27627,28;12,05;16,62;71,33;40,72;224,19;682,99;682,37;573,73;309,28
Polska;2009;35,48;55,63;50,02;26739,24;11,68;16,02;72,31;40,94;215,4;670,07;695,32;583,19;309,06
